gene beta t p se(beta)
ENSG00000008018.8 3252.86249387511 0.319924761681821 0.749470547396856 10167.5858935552
ENSG00000008083.9 7603.7942843107 0.221487521614578 0.825014087302183 34330.5764084645
ENSG00000008256.11 -47607.0057808968 -2.2327760774566 0.0270446124175056 21321.8899385231
ENSG00000008513.10 -6538.98929395579 -1.1817910767629 0.239158759717806 5533.1178433561
ENSG00000008710.13 12767.3136298673 1.29555648316273 0.197118513343772 9854.69471674413
ENSG00000008838.13 -5261.34117741172 -0.766060912208228 0.444843888148359 6868.04546944643
ENSG00000009307.11 -25468.9252335133 -0.623107816777713 0.534159922055751 40874.0262082109
ENSG00000009335.13 32088.1746343456 1.57849757318637 0.116557887372127 20328.301531419
ENSG00000010165.15 -2687.84919236259 -0.381317846818797 0.703506985684085 7048.84183834139
ENSG00000010219.9 2640.46224957905 1.09130145031304 0.276890077360529 2419.55350542385
ENSG00000010295.15 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000010322.11 5084.42715712483 1.34825472193437 0.179608841023199 3771.11763408484
ENSG00000010626.10 -4222.71576482041 -0.461028375758592 0.645446014936662 9159.34026375754
ENSG00000010810.13 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000011114.10 -1235.11228076896 -0.192470014988689 0.847634387124784 6417.16727066056
ENSG00000011132.7 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000011198.3 -5451.31312559903 -1.60997258864769 0.109506307806128 3385.96642206057
ENSG00000011243.13 -39920.7617978847 -1.86233110014002 0.0645125514497052 21435.9099705113
ENSG00000011258.11 -4406.95092395401 -0.508854990397114 0.611601532061385 8660.52413186475
ENSG00000011295.11 -7835.27815148103 -1.24893721509054 0.213633626163746 6273.55647410426
ENSG00000011376.5 -1248.06152196522 -0.353096054951916 0.724512147078292 3534.62324050938
ENSG00000011454.12 -34104.2791385185 -1.10611626175799 0.270447047489142 30832.4543428331
ENSG00000011523.9 -7570.55463188238 -0.630406801851282 0.529387697151125 12008.9989664615
ENSG00000012983.7 -33084.9974551926 -2.21762593329077 0.0280839411392937 14919.1064906502
ENSG00000013016.10 -9659.93781113581 -1.54356144457935 0.124801702061519 6258.21397979289
ENSG00000013288.4 4606.27170719758 1.19955622208036 0.232203072943993 3839.97983788459
ENSG00000013306.11 -2692.35411067607 -0.204484412396184 0.83825216544183 13166.5493673899
ENSG00000013364.14 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000013374.11 7321.98961730163 0.886232000284647 0.376911127154581 8261.93323525882
ENSG00000013392.6 382.699652151596 0.0891028095588421 0.929119061249703 4295.03462400775
ENSG00000013503.5 -10458.4687095641 -1.58486007232493 0.115104120662515 6598.98554591125
ENSG00000013561.13 12905.9251926766 2.67247217857251 0.00836246357693597 4829.2084370997
ENSG00000013573.12 -8461.17682336652 -1.42746146502234 0.155525417513428 5927.42923763205
ENSG00000013810.14 -15401.7391046761 -2.23078667786211 0.0271791479783027 6904.17387620247
ENSG00000014138.4 -6350.28578812433 -0.69040862357379 0.491004158350302 9197.86568605284
ENSG00000014164.6 -16031.2931085913 -0.964892702428281 0.336151582560342 16614.5863350883
ENSG00000014257.11 -4731.03874788094 -0.309735467226679 0.7571920020186 15274.4494850457
ENSG00000014914.15 9712.42442270493 1.34444064393376 0.180835558530307 7224.1377605834
ENSG00000015532.5 -1522.70273992248 -0.261919555003969 0.793742791769152 5813.62754644038
ENSG00000015676.13 -1192.0591405539 -0.0362248753617331 0.971151214484494 32907.1978481712
ENSG00000016864.12 -271.888361534229 -0.0144380255612857 0.98849970819623 18831.4087947921
ENSG00000017373.11 -1099.8299085615 -0.236618730969513 0.813275406649035 4648.11008010693
ENSG00000018280.12 1136.47763008891 0.222361448606647 0.82433499744005 5110.94723123216
ENSG00000018699.7 -239.312085626228 -0.0219499606610595 0.982517043229122 10902.6202516518
ENSG00000019169.9 -4616.58463519939 -0.810882405680128 0.418717928180278 5693.28499775159
ENSG00000019485.8 -4420.89590785847 -0.458403579250545 0.647325966763285 9644.11297810174
ENSG00000019582.10 -27040.672032814 -3.13240675533249 0.00208525223766243 8632.55450039527
ENSG00000019991.11 13534.1029052894 1.5821688498711 0.115717270294036 8554.14572622391
ENSG00000020577.9 8643.59515671118 0.268034357279418 0.789041107478501 32248.0865678741
ENSG00000020922.8 3739.54784288262 1.02416568103146 0.307405862020732 3651.31141586042
ENSG00000021355.8 -4223.69145178179 -0.788092881474686 0.431886038466374 5359.38282284492
ENSG00000021574.7 44806.9709303788 1.09300286152132 0.276144800575294 40994.3766002708
ENSG00000022567.5 929.17916001226 0.272954872448615 0.785263330606727 3404.14938072659
ENSG00000023228.9 443.095936777424 0.0511854266745076 0.959245862843513 8656.68151200747
ENSG00000023287.8 -4943.99432958743 -0.76402335316312 0.446053466737488 6470.99896766098
ENSG00000023445.9 -955.745803148137 -0.210631922622451 0.833460361472844 4537.51639945514
ENSG00000023697.8 4133.79549536753 1.29358112765294 0.197798574498683 3195.62137000858
ENSG00000023902.9 -13081.4239499711 -1.05142393404775 0.294754828046904 12441.6265659947
ENSG00000025156.8 -426.824419128807 -0.0895047886507089 0.928800145167864 4768.7327746729
ENSG00000025293.11 -2667.93635022348 -0.861260277008615 0.390469358839094 3097.71206387217
ENSG00000025434.14 -1896.07608989233 -0.241818698018673 0.809250928868051 7840.89942352563
ENSG00000025708.8 -6999.22065429517 -0.771844710411524 0.441420701426969 9068.17208161393
ENSG00000025772.7 3654.61022411042 0.271126751121532 0.786666298761431 13479.3420752209
ENSG00000025800.9 -25472.3515271523 -0.634937442643849 0.526436526418773 40117.8916478554
ENSG00000026508.12 35041.8941401939 0.792365548946005 0.429398932320163 44224.4039847595
ENSG00000027847.9 -16262.720857944 -1.84602931230614 0.066859049818495 8809.56805481485
ENSG00000028203.13 -2251.64531883503 -0.326716359864747 0.744337865384202 6891.74340632089
ENSG00000028310.13 941.498678370644 0.0452724353554968 0.963950372826559 20796.2896402111
ENSG00000028528.10 25497.6434446655 1.54961596415159 0.123341016275948 16454.16931325
ENSG00000029534.15 -43509.0397011782 -1.28577238904871 0.200503886706371 33838.8349849141
ENSG00000029639.6 -1512.35386837202 -0.350278762711748 0.726620884273612 4317.57225777507
ENSG00000030110.8 1959.10896430321 0.640232494906001 0.522998221584458 3059.996141856
ENSG00000030582.12 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000031691.6 136.004821296898 0.0406212660985297 0.967651847756977 3348.11871611803
ENSG00000032742.13 -2182.08008555687 -0.131639085204347 0.895446170683481 16576.2325237186
ENSG00000033050.3 35277.8769160719 1.51837955758161 0.131023609534626 23233.8987573439
ENSG00000033178.8 3240.13897771375 0.612872858819513 0.540888498897547 5286.8044833226
ENSG00000033327.8 -3088.60500149435 -1.03193183244559 0.303765012075426 2993.03200500619
ENSG00000034677.7 -389.275502277739 -0.0559548711570106 0.955452221074504 6956.95467129972
ENSG00000034713.3 -124560.180514857 -0.93701368520061 0.350257717936861 132933.149731094
ENSG00000035115.17 -16339.6754330812 -1.91144045976853 0.0578550557005441 8548.35699933855
ENSG00000035141.3 9445.31578404375 0.951314795105597 0.342974944099658 9928.69640274575
ENSG00000035499.8 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000035687.9 -2928.71813379654 -0.585995711580713 0.558759100689712 4997.84908987878
ENSG00000036448.5 4406.45135862673 0.73315565285458 0.464607731753711 6010.25354093634
ENSG00000036549.8 12197.9464735462 1.42537463490119 0.156126487179788 8557.71260051348
ENSG00000037757.9 -23369.835717849 -0.863055453548066 0.389484804839153 27078.0233434299
ENSG00000037897.12 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000038002.4 -6615.55760851031 -1.2576095876847 0.210487367517675 5260.42237057825
ENSG00000038219.8 182.405011765877 0.0341522543336188 0.972801144008268 5340.93620831119
ENSG00000038274.12 -121945.611899293 -1.22350851314604 0.223056212106484 99668.7890513579
ENSG00000038427.11 1052.94977989422 NA NA 9.03546769141351e-117
ENSG00000039068.14 23187.1449840407 1.78472758239687 0.0763266736954613 12991.9799597094
ENSG00000040199.14 -2227.17440712133 -0.355771605571605 0.722511455364096 6260.12411401696
ENSG00000040275.12 -3260.7402272222 -0.325805509484152 0.74502557157022 10008.2415192577
ENSG00000040531.10 5382.37944188985 0.191424986831465 0.848451517451287 28117.4340454761
ENSG00000040633.8 -2866.57434928978 -0.214754870560223 0.830250129702909 13348.1226377398
ENSG00000041357.11 -9786.18044997671 -2.1637933373882 0.0320632117183197 4522.69645205078
ENSG00000041802.6 -35209.3196741182 -2.3412575019911 0.0205348480515172 15038.6361364244
