FID	IID	pop	sex	phase	igrowth
NA18592	NA18592	ASN	2	I	73734
NA18593	NA18593	ASN	2	I	59650
NA18594	NA18594	ASN	2	I	81493
NA18603	NA18603	ASN	1	I	74326
NA18605	NA18605	ASN	1	I	64401
NA18608	NA18608	ASN	1	I	80211
NA18609	NA18609	ASN	1	I	81319
NA18611	NA18611	ASN	1	I	75691
NA18612	NA18612	ASN	1	I	88525
NA18620	NA18620	ASN	1	I	73066
NA18621	NA18621	ASN	1	I	68647
NA18622	NA18622	ASN	1	I	74007
NA18623	NA18623	ASN	1	I	91855
NA18624	NA18624	ASN	1	I	73073
NA18632	NA18632	ASN	1	I	98531
NA18633	NA18633	ASN	1	I	87273
NA18635	NA18635	ASN	1	I	88521
NA18636	NA18636	ASN	1	I	79578
NA18637	NA18637	ASN	1	I	80159
NA18852	NA18852	YRI	2	I	54379
NA18853	NA18853	YRI	1	I	67885
NA18854	NA18854	YRI	1	I	75015
NA18855	NA18855	YRI	2	I	64259
NA18856	NA18856	YRI	1	I	81132
NA18857	NA18857	YRI	1	I	57925
NA18858	NA18858	YRI	2	I	74435
NA18859	NA18859	YRI	1	I	92237
NA18860	NA18860	YRI	1	I	73305
NA18861	NA18861	YRI	2	I	84927
NA18862	NA18862	YRI	1	I	57373
NA18863	NA18863	YRI	1	I	58633
NA18867	NA18867	YRI	2	III	49856
NA18868	NA18868	YRI	1	III	80617
NA18869	NA18869	YRI	1	III	58402
NA18870	NA18870	YRI	2	I	61001
NA18871	NA18871	YRI	1	I	61760
NA18872	NA18872	YRI	1	I	75319
NA18873	NA18873	YRI	2	III	68916
NA18874	NA18874	YRI	1	III	52101
NA18875	NA18875	YRI	2	III	77896
NA18907	NA18907	YRI	2	III	70138
NA18908	NA18908	YRI	1	III	57890
NA18909	NA18909	YRI	2	III	70472
NA18910	NA18910	YRI	1	III	85836
NA18911	NA18911	YRI	1	III	73890
NA18912	NA18912	YRI	2	I	59983
NA18913	NA18913	YRI	1	I	66826
NA18914	NA18914	YRI	1	I	88170
NA18916	NA18916	YRI	2	III	79332
NA18917	NA18917	YRI	1	III	88896
NA18923	NA18923	YRI	1	III	82834
NA18924	NA18924	YRI	2	III	68007
NA18925	NA18925	YRI	1	III	100931
NA18930	NA18930	YRI	2	III	77744
NA18933	NA18933	YRI	2	III	75719
NA18934	NA18934	YRI	1	III	60086
NA18935	NA18935	YRI	1	III	67362
NA18940	NA18940	ASN	1	I	72095
NA18942	NA18942	ASN	2	I	90087
NA18943	NA18943	ASN	1	I	75579
NA18944	NA18944	ASN	1	I	67085
NA18945	NA18945	ASN	1	I	89289
NA18947	NA18947	ASN	2	I	90701
NA18948	NA18948	ASN	1	I	91944
NA18949	NA18949	ASN	2	I	84454
NA18951	NA18951	ASN	2	I	80246
NA18952	NA18952	ASN	1	I	99165
NA18953	NA18953	ASN	1	I	69679
NA18956	NA18956	ASN	2	I	75733
NA18959	NA18959	ASN	1	I	78869
NA18960	NA18960	ASN	1	I	73861
NA18961	NA18961	ASN	1	I	81791
NA18964	NA18964	ASN	2	I	78423
NA18965	NA18965	ASN	1	I	82900
NA18966	NA18966	ASN	1	I	81729
NA18967	NA18967	ASN	1	I	78111
NA18968	NA18968	ASN	2	I	75159
NA18969	NA18969	ASN	2	I	53022
NA18970	NA18970	ASN	1	I	69736
NA18971	NA18971	ASN	1	I	73948
NA18972	NA18972	ASN	2	I	70548
NA18973	NA18973	ASN	2	I	73252
NA18974	NA18974	ASN	1	I	79665
NA18975	NA18975	ASN	2	I	55429
NA18976	NA18976	ASN	2	I	59743
NA18978	NA18978	ASN	2	I	88098
NA18980	NA18980	ASN	2	I	67338
NA18981	NA18981	ASN	2	I	73090
NA18987	NA18987	ASN	2	I	72542
NA18990	NA18990	ASN	1	I	86538
NA18991	NA18991	ASN	2	I	55436
NA18992	NA18992	ASN	2	I	85859
NA18994	NA18994	ASN	1	I	72641
NA18995	NA18995	ASN	1	I	63968
NA18997	NA18997	ASN	2	I	35244
NA18998	NA18998	ASN	2	I	61741
NA18999	NA18999	ASN	2	I	59465
NA19000	NA19000	ASN	1	I	79783
NA19003	NA19003	ASN	2	I	71074
NA19005	NA19005	ASN	1	I	73757
NA19007	NA19007	ASN	1	I	71120
NA19012	NA19012	ASN	1	I	69962
NA19092	NA19092	YRI	1	I	77557
NA19093	NA19093	YRI	2	I	96843
NA19094	NA19094	YRI	2	I	86770
NA19095	NA19095	YRI	2	III	73866
NA19096	NA19096	YRI	1	III	68418
NA19097	NA19097	YRI	2	III	77612
NA19098	NA19098	YRI	1	I	92577
NA19099	NA19099	YRI	2	I	93426
NA19100	NA19100	YRI	2	I	96662
